Étiquettes de lignes;sport;Somme de prediction;Somme de predict_final;;demoday;dernier;
19005879;Boxing;4;3;;19005200;19005879;19005200
19005916;Boxing;1;3;;19005318;19005916;19005318
19005953;Boxing;2;3;;19005600;19005953;19005600
19005990;Boxing;3;3;;19005637;19005990;19005637
19006027;Boxing;3;3;;19005674;19006027;19005674
19006314;Canoe Slalom;1;3;;19005711;19006314;19005711
19006320;Canoe Slalom;3;3;;19005748;19006320;19005748
19006326;Canoe Slalom;4;3;;19005785;19006326;19005785
19006332;Canoe Slalom;1;3;;19005822;19006332;19005822
19008400;Rowing;1;3;;19005859;19008400;19005859
19008504;Rowing;0;3;;19005879;19008504;19005879
19008700;Sailing;0;3;;19005916;19008700;19005916
19008725;Sailing;1;3;;19005953;19008725;19005953
19008792;Sailing;3;3;;19005990;19008792;19005990
19008813;Sailing;3;3;;19006027;19008813;19006027
19008838;Sailing;3;3;;19006314;19008838;19006314
19009100;Artistic Gymnastics;0;3;;19006320;19009100;19006320
19009130;Artistic Gymnastics;1;3;;19006326;19009130;19006326
19009133;Artistic Gymnastics;1;3;;19006332;19009133;19006332
19009140;Artistic Gymnastics;0;3;;19008400;19009140;19008400
19009143;Artistic Gymnastics;0;3;;19008504;19009143;19008504
19009146;Artistic Gymnastics;2;3;;19008700;19009146;19008700
19009149;Artistic Gymnastics;1;3;;19008725;19009149;19008725
19009152;Artistic Gymnastics;1;3;;19008792;19009152;19008792
19009174;Artistic Gymnastics;1;3;;19008813;19009174;19008813
19009177;Artistic Gymnastics;2;3;;19008838;19009177;19008838
19009184;Artistic Gymnastics;0;3;;19009100;19009184;19009100
19009187;Artistic Gymnastics;2;3;;19009130;19009187;19009130
19009300;Wrestling;2;3;;19009133;19009300;19009133
19009329;Wrestling;1;3;;19009140;19009329;19009140
19009358;Wrestling;0;3;;19009143;19009358;19009143
19009387;Wrestling;4;3;;19009146;19009387;19009146
19009416;Wrestling;3;3;;19009149;19009416;19009149
19009445;Wrestling;5;3;;19009152;19009445;19009152
19009474;Wrestling;1;3;;19009174;19009474;19009174
19009503;Wrestling;0;3;;19009177;19009503;19009177
19009532;Wrestling;1;3;;19009184;19009532;19009184
19009561;Wrestling;1;3;;19009187;19009561;19009187
19009590;Wrestling;3;3;;19009300;19009590;19009300
19009619;Wrestling;4;3;;19009329;19009619;19009329
19009648;Wrestling;3;3;;19009358;19009648;19009358
19009677;Wrestling;3;3;;19009387;19009677;19009387
19009706;Wrestling;3;3;;19009416;19009706;19009416
19009735;Wrestling;3;3;;19009445;19009735;19009445
19009764;Wrestling;3;3;;19009474;19009764;19009474
19009793;Wrestling;4;3;;19009503;19009793;19009503
19012150;Equestrian Jumping;0;3;;19009532;19012150;19009532
19012164;Equestrian Dressage;2;3;;19009561;19012164;19009561
19012192;Equestrian Eventing;1;3;;19009590;19012192;19009590
19016100;Canoe Sprint;5;3;;19009619;19016100;19009619
19016119;Canoe Sprint;2;3;;19009648;19016119;19009648
19016169;Canoe Sprint;4;3;;19009677;19016169;19009677
19016207;Canoe Sprint;4;3;;19009706;19016207;19009706
19016226;Canoe Sprint;3;3;;19009735;19016226;19009735
19016276;Canoe Sprint;3;3;;19009764;19016276;19009764
19016400;Fencing;3;3;;19009793;19016400;19009793
19016614;Fencing;1;3;;19012150;19016614;19012150
19016828;Fencing;2;3;;19012164;19016828;19012164
19017009;Fencing;1;3;;19012192;19017009;19012192
19017223;Fencing;4;3;;19016100;19017223;19016100
19017437;Fencing;5;3;;19016119;19017437;19016119
19019500;Alpine Skiing;1;3;;19016169;19019500;19016169
19019501;Alpine Skiing;2;3;;19016207;19019501;19016207
19019502;Alpine Skiing;1;3;;19016226;19019502;19016226
19019505;Alpine Skiing;2;3;;19016276;19019505;19016276
19019508;Alpine Skiing;0;3;;19016400;19019508;19016400
19019511;Alpine Skiing;2;3;;19016614;19019511;19016614
19019512;Alpine Skiing;1;3;;19016828;19019512;19016828
19019513;Alpine Skiing;2;3;;19017009;19019513;19017009
19019516;Alpine Skiing;3;3;;19017223;19019516;19017223
19019519;Alpine Skiing;3;3;;19017437;19019519;19017437
19019630;Biathlon;0;3;;19019500;19019630;19019500
19019631;Biathlon;2;3;;19019501;19019631;19019501
19019632;Biathlon;0;3;;19019502;19019632;19019502
19019633;Biathlon;1;3;;19019505;19019633;19019505
19019635;Biathlon;1;3;;19019508;19019635;19019508
19019636;Biathlon;0;3;;19019511;19019636;19019511
19019637;Biathlon;1;3;;19019512;19019637;19019512
19019638;Biathlon;1;3;;19019513;19019638;19019513
19019671;Bobsleigh;0;3;;19019516;19019671;19019516
19019700;Cross Country Skiing;1;3;;19019519;19019700;19019519
19019712;Cross Country Skiing;1;3;;19019630;19019712;19019630
19019713;Cross Country Skiing;0;3;;19019631;19019713;19019631
19019714;Cross Country Skiing;1;3;;19019632;19019714;19019632
19019721;Cross Country Skiing;1;3;;19019633;19019721;19019633
19019733;Cross Country Skiing;2;3;;19019635;19019733;19019635
19019734;Cross Country Skiing;1;3;;19019636;19019734;19019636
19019735;Cross Country Skiing;1;3;;19019637;19019735;19019637
19020000;Figure Skating;4;3;;19019638;19020000;19019638
19020003;Figure Skating;0;3;;19019671;19020003;19019671
19020050;Freestyle Skiing;5;3;;19019700;19020050;19019700
19020056;Freestyle Skiing;2;3;;19019712;19020056;19019712
19020062;Freestyle Skiing;1;3;;19019713;19020062;19019713
19020084;Freestyle Skiing;3;3;;19019714;19020084;19019714
19020092;Freestyle Skiing;2;3;;19019721;19020092;19019721
19020100;Freestyle Skiing;0;3;;19019733;19020100;19019733
19020108;Freestyle Skiing;3;3;;19019734;19020108;19019734
19020114;Freestyle Skiing;2;3;;19019735;19020114;19019735
19020120;Freestyle Skiing;2;3;;19020000;19020120;19020000
19020142;Freestyle Skiing;2;3;;19020003;19020142;19020003
19020150;Freestyle Skiing;5;3;;19020050;19020150;19020050
19020158;Freestyle Skiing;0;3;;19020056;19020158;19020056
19020300;Luge;4;3;;19020062;19020300;19020062
19020310;Luge;1;3;;19020084;19020310;19020084
19020350;Nordic Combined;1;3;;19020092;19020350;19020092
19020353;Nordic Combined;2;3;;19020100;19020353;19020100
19020370;Skeleton;5;3;;19020108;19020370;19020108
19020377;Skeleton;5;3;;19020114;19020377;19020114
19020400;Speed Skating;4;3;;19020120;19020400;19020120
19020401;Speed Skating;2;3;;19020142;19020401;19020142
19020402;Speed Skating;2;3;;19020150;19020402;19020150
19020403;Speed Skating;2;3;;19020158;19020403;19020158
19020404;Speed Skating;2;3;;19020300;19020404;19020300
19020405;Speed Skating;4;3;;19020310;19020405;19020310
19020424;Speed Skating;1;3;;19020350;19020424;19020350
19020425;Speed Skating;1;3;;19020353;19020425;19020353
19020426;Speed Skating;2;3;;19020370;19020426;19020370
19020427;Speed Skating;2;3;;19020377;19020427;19020377
19020428;Speed Skating;1;3;;19020400;19020428;19020400
19020429;Speed Skating;4;3;;19020401;19020429;19020401
19020460;Short Track Speed Skating;2;3;;19020402;19020460;19020402
19020481;Short Track Speed Skating;1;3;;19020403;19020481;19020403
19020502;Short Track Speed Skating;1;3;;19020404;19020502;19020404
19020524;Short Track Speed Skating;2;3;;19020405;19020524;19020405
19020545;Short Track Speed Skating;3;3;;19020424;19020545;19020424
19020566;Short Track Speed Skating;2;3;;19020425;19020566;19020425
19020630;Ski Jumping;0;3;;19020426;19020630;19020426
19020635;Ski Jumping;1;3;;19020427;19020635;19020427
19020643;Ski Jumping;2;3;;19020428;19020643;19020428
19020670;Snowboarding;2;3;;19020429;19020670;19020429
19020694;Snowboarding;5;3;;19020460;19020694;19020460
19020706;Snowboarding;3;3;;19020481;19020706;19020481
19020714;Snowboarding;3;3;;19020502;19020714;19020502
19020738;Snowboarding;3;3;;19020524;19020738;19020524
19020750;Snowboarding;2;3;;19020545;19020750;19020545
19020774;Snowboarding;4;3;;19020566;19020774;19020566
19020782;Snowboarding;4;3;;19020630;19020782;19020630
19020790;Snowboarding;4;3;;19020635;19020790;19020635
19020805;Snowboarding;4;3;;19020643;19020805;19020643
(vide);(vide);;;;19020670;;
Total général;;755;933;;19020694;;
;;;;;19020706;;
;;;;;19020714;;
;;;;;19020738;;
;;;;;19020750;;
;;;;;19020774;;
;;;;;19020782;;
;;;;;19020790;;
;;;;;19020805;;
